ID,code,author,title,subject,publisher,publication Date,format,notes,loaned to,date from,date to
3264,428.64,"Christian,carol",More People of Our Times,"stopes/rooseveldt,eleanor/le corbusier/mao tse-tung/hammarskold,dag/mother teresa/villa boas/peron,e",Macmillan,1978,p/b,intermediate graded reader,,,
3266,428.64,"Clarke,arthur.c.",the Songs of Distant Earth,Fiction,Oxford,1996,p/b,intermediate graded reader. the nine billion names of god/the secret/the wall of darkness/no mornings after,,,
3268,428.64,Crichton,Jurasic Park,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3270,428.64,Dibdin,The Last Sherlock Holmes,Fiction,Oxford,0,p/b,intermediate graded reader,,,
3271,gr/inter,"Dickens,charles",a christmas carol,Fiction,Collins,1990,p/b,intermediate graded reader,,,
3272,428.64,"Dickens,charles",Hard Times,Fiction,Longman,0,p/b,intermediate graded reader,,,
3273,428.64,"Dickens,charles",Oliver Twist,Fiction,Oxford,0,p/b,intermediate graded reader,,,
3274,428.64,"Doyle,sir arthur conan",Silver Blaze,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3276,428.64,"Du Maurier,daphne",My Cousin Rachel,Fiction,Heinemann,1986,p/b,intermediate graded reader,,,
3278,428.64,"Fitzgerald,scott",The Great Gatsby,Fiction,hein,0,p/b,intermediate graded reader,,,
3279,428.64,fleisher,rain man,Fiction,penguin,0,p/b,intermediate graded reader,,,
3281,428.64,"Forsyth,henry",No Comebacks,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3282,428.64,"Francis,dick",Banker,Fiction,Heinemann,1992,p/b,intermediate graded reader,,,
3284,428.64,"Grimshaw,nigel",The Angry Valley,Fiction,Longman,1982,p/b,intermediate graded reader,,,
3287,428.64,"Head,bessie",When Rain Clouds Gather,Fiction,Heinemann,1989,p/b,intermediate graded reader,,,
3288,428.64,Hill (s),I'm the king of the Castle,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3289,428.64,"Hopkins,andy/Potter,joc",Tuesday the Tenth,Fiction,Macmillan,1991,p/b,intermediate graded reader,,,
3292,428.64,"King,stephen",The Breathing Method,Fiction,Penguin,1994,p/b,intermediate graded reader,,,
3293,428.64,"Lawrence,d.h.",Sons and Lovers,Fiction,Nelson,1993,p/b,intermediate graded reader,,,
3294,428.64,Lawrence,The Lovely Lady and Others,Fiction,,0,p/b,intermediate graded reader,,,
3296,428.64,Levin,The Boys From Brazil,Fiction,Penguin,0,p/b,intermediate graded reader,,,
3297,428.64,London,White Fang,Fiction,,0,p/b,intermediate graded reader,,,
3298,428.64,"macintosh,joan",exploring space,astronomy/space,macmillan,1989,p/b,intermediate graded reader,,,
3299,428.64,"Marshall,alan",I Can Jump Puddles,Fiction,Longman,1988,p/b,intermediate graded reader,,,
3300,428.64,"Matthews,geoffrey",The Space Invaders,Fiction,Heinemann,1989,p/b,intermediate graded reader,,,
3303,428.64,Mclean,Fair Play?,Fiction,Longman,0,p/b,intermediate graded reader,,,
3304,428.64,Mitchell,Gone with the Wind I,Fiction,Penguin,0,p/b,intermediate graded reader,,,
3305,428.64,Mitchell,Gone with the Wind II,Fiction,Penguin,0,p/b,intermediate graded reader,,,
3306,428.64,"Moynahan,brian",Airport International,Fiction,Collins,1989,p/b,intermediate graded reader,,,
3308,428.64,Pasternak,Doctor Zhivago,Fiction,Collins,0,p/b,intermediate graded reader,,,
3309,428.64,"Plowright,piers",The Smuggler,Fiction,Heinemann,1992,p/b,intermediate graded reader,,,
3310,428.64,Prowse,Bristol Murder,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3311,428.64,Pushkin,The Queen of Spades,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3315,428.64,"Selinko,annemarie","Desiree, Wife of Marshall Bernadotte",Fiction,Longman,1982,p/b,intermediate graded reader,,,
3316,428.64,Sherman,Old Mali and the Boy,Fiction,Heinemann,0,p/b,intermediate graded reader,,,
3317,428.64,"Smith,wilbur",The Eye of the Tiger,Fiction,Heinemann,1992,p/b,intermediate graded reader,,,
3319,428.64,"Stevenson,r.l.",Dr Jekyll and Mr Hyde,Fiction,Collins,1990,p/b,intermediate graded reader,,,
